Key,noTrim,profile,type,en-us,en-us-sfw
ginger,,,item,"Ginger stimulates the production of saliva, so if you ever want to drool or spit a lot for reasons I don't want to know about, just crunch on some ginger first.","Ginger stimulates the production of saliva, so if you need to win an ""impersonate a dog in hot weather"" contest, here's your pro-tip for victory."
specialgrapes,,,item,Tasty little purple eggs that you can smack on loudly in the waiting room of your therapist's office to piss off that guy who took your usual parking spot.,Tasty little purple eggs that you can smack on loudly in the waiting room of your therapist's office to annoy that guy who took your usual parking spot.
battery,,,item,Batteries are like food for technology. They need it to motivate them to go out and do their jobs. Their jobs like powering video game systems and toys.,
headphones,,,item,"These fancy headphones are wireless, so you'll never have to untangle them! They will, however, burrow into your ears and install apps in your fucking brain.","These fancy headphones are wireless, so you'll never have to untangle them! They will, however, burrow into your ears and install apps in your brain."
printer,,,item,This 3D printer is great for turning expensive prosthetics and equipment into affordable DIY projects! Or you can just make fucking action figures.,This 3D printer is great for turning expensive prosthetics and equipment into affordable DIY projects! Or you can just make some action figures.
app,,,item,"This app will do more damage the longer you leave it on your field, as it generates more and more notifications. Clear your damn notifications already!","This app will do more damage the longer you leave it on your field, as it generates more and more notifications. Clear your dang notifications already!"
drone,,,item,"This tiny flying machine is bringing you tomorrow's privacy and air traffic problems, today!",
frogbot,,,item,"A wind-up toy that resembles a frog. Not every new piece of technology has to shake up the entire industry, okay?!?",
coffee,,,item,"This machine can give you a proper cup of coffee with the press of a button! Too hot to drink, but you're too thirsty to wait!",
sicklebattery,,,item,"This will charge a Sickle2 Proprietary Charger Bay, allowing you to use your Sickle2 Proprietary Sickle-Type Product to its fullest proprietary potential!",
egg,,,item,Over 50 million tons of chicken eggs are laid each year; that's a lot of eggs! Careful not to get any on your face!,
quail,,,item,"Quail eggs are tiny and considered a delicacy in many parts of the world. In the Phillippines, skewered and battered quail eggs are a popular deep-fried treat!",
goose,,,item,"Goose eggs are quite a bit bigger than chicken eggs, which makes them good for people who like eating larger versions of common food items!",
turkey,,,item,"Turkeys lay eggs much less frequently than chickens, and it takes them much longer to start laying. This is why chickens beat turkeys in the Great Egg Race.",
platypus,,,item,"Only two mammals lay eggs: platypi and echidnas. Baby platypi are referred to as ""puggles,"" because ha ha ha ha of course they are that shit's hilarious.","Only two mammals lay eggs: platypi and echidnas. Baby platypi are referred to as ""puggles,"" because ha ha ha ha of course they are that's hilarious."
shiitake,,,item,"Native to East Asia, these mushrooms have been eaten since at least the 13th century. They are a common ingredient in miso soup.",
milkcap,,,item,"When cut or bruised, the caps of these mushrooms release a white latex which gives them their name. For the same reason, humans are often called bloodfaces.",
portobello,,,item,"There is no consensus as to where its name came from, so here's my theory: Megan ""Port"" Obello discovered them in her backyard. You can't prove I'm wrong!",
greenshroom,,,item,"It is covered in a sticky substance, but you can probably still eat them! Just don't eat too many at once unless you want some Tummy Troubles.",
blackshroom,,,item,"Nobody knows how this mushroom got its distinctive black color, but one thing is for certain: this is absolutely a mushroom that is black and can be thrown at enemies!",
poisnshroom,,,item,"Some mushrooms are good for you, while others will rapidly kill you. This is why it's a good idea to get your mushrooms from a store and not from your basement.",
beeR,,,item,"Africanized bees are what happens when mankind tries to play God. While their stings are no different from other honey bees, killer bees are much more defensive.",
beeG,,,item,"These bees still have stingers, but they are too tiny to be used for stinging. They still have powerful mandibles, though, so their bites can really... sting!",
hbee,,,item,A BEEEE!!,
bignet,,,item,This net can catch much larger fish than a smaller net. It can also catch more fish than a smaller net. Pretty amazing.,
shortgrain,,,item,"Short-grain rice is often used for rice pudding, a tasty treat that's fun to eat! It rhymes, so it has to be true. That's the rule, and it's NEVER not true.",
chestnut,,,item,"The Chinese water chestnut is a grass-like vegetable with delicious starchy corms. Yep, that's what the edible part is called. The corm.",
garlic,,,item,"When the gods tire of milk and honey and long for something more savory, you better believe that their first choice is garlic!",
banana,,,item,"In many video games, you might throw a banana peel at your foes. There is no place for such a wasteful display in this game: you throw the WHOLE banana here. this time.",
goldegg,,,item,A strange fairy from the lake by your farm gave you this egg. It looks like it's pretty one-of-a-kind so you should definitely hold onto it until the final battle and then forget to use it.,
coconut,,,item,A strange citrus man from the forest gave you these seeds. They look like they're pretty rare so you should definitely hold onto them until the final battle and then forget to use them.,
corn,,,item,"Corn is also known as maize, which is pretty acorning. That joke is the reason no translators will even try to touch this game.",
gmocorn,,,item,A quirky robot gave you these questionable seeds. They look like they're pretty rare so you should definitely hold onto them until the final battle and then forget to use them.,
ultrarod,,,item,This fishing rod has the best bait ever! It looks like it's pretty rare so you should definitely hold onto it until the final battle and then forget to use it.,
goodfood,,,item,"A super tasty and healthy feed for animals. Feeding a cow this will lead to milk that recovers LOTS of health, so you should definitely hold onto it until the final battle and then forget to use it.",
notdrugs,,,item,Totally ordinary mushroom seeds. Their spores can stun enemies. They look pretty rare so you should definitely hold onto them until the final battle and then forget to use them.,
asparagus,,,item,"When Gus eats a lot of pears, then shits, this is what you get. Ass Pear a'Gus. What? Why are you yelling at me? Oh God I'm sorry please stop.","Yo my Gus broke, do you got one I could borrow? Yeah, I need a spare a'Gus. Why are you running away?"
bellpepper,,,item,"When I was a kid I shook one of these for like an hour next to my ear trying to hear a bell ringing sound. Needless to say, that's not why they're called this.",
radish,,,item,Not quite rad.,
spinach,,,item,"Is that one cartoon sailor's motto in the public domain yet? I'll play it safe and assume it isn't, so just IMAGINE that it's here.",
tomato,,,item,"You say ""tomato,"" I say ""this expression doesn't translate too well to a text-based format.""",
apricot,,,item,Apricots have big pits so be careful not to fall into them.,
avocado,,,item,"How dare you. Avocados? Now you'll never be a homeowner, you fucking millennial.","How dare you. Avocados? Now you'll never be a homeowner, you millennial."
blackberry,,,item,"These sweet and juicy berries taste as good as they look. Unless you think they look bad. In that case, they taste better than they look! Unless you don't like how they taste, in which case... hold on, I'm working on it.",
kiwi,,,item,Not the bird.,
mango,,,item,"Man go ""beep beep!""",
lotus,,,item,"Lotus flowers are very beautiful. Lotus fruits, however, are a common cause of trypophobia. That shit's fuckin' creepy, yo. Also, don't do an Image Search for that word.","Lotus flowers are very beautiful. Lotus fruits, however, are a common cause of trypophobia. Creepy stuff. Also, don't do an Image Search for that word."
holywater,,,item,"You may not be in the business of blessing, but you ARE in the business of applying water to dirt so the things in that dirt grow faster... so water you waiting for?",
holyjug,,,item,"This big container of holy water can baptize one human child OR water a large amount of soil. Hey, corn needs protection from evil, too!",
!babySickle,,,item,Small Sickle,
!baseSickle,,,item,Sickle,
!goodSickle,,,item,Crop Sickle,
!dblSickle,,,item,Double Sickle,
!hvySickle,,,item,Heavy Sickle,
!hoe,,,item,Hoe,
!salthoe,,,item,Salty Hoe,
!sicklerang,,,item,Sicklerang,
!sunSickle,,,item,Sickle of Light,
!pltSickle,,,item,Platinum Sickle,
!sickle2,,,item,Sickle2,
!sickle2_weak,,,item,Sickle2,
!weakCompost,,,item,Small Compost Bin,
!baseCompost,,,item,Compost Bin,
!strongCompost,,,item,Battle Compost Bin,
!sturdyCompost,,,item,Sturdy Compost Bin,
!jumboCompost,,,item,Jumbo Compost Bin,
!vitaminCompost,,,item,Vitamin-Enriched Compost Bin,
!compost2,,,item,Compost2,
!weakGloves,,,item,Gloves,
!pairGloves,,,item,Slapping Gloves,
!gardenGloves,,,item,Gardening Gloves,
!sbGloves,,,item,Boxing Gloves,
!gloves2,,,item,Gloves2,
!weakSoil,,,item,Watering Can,
!speedSoil,,,item,Speedy Water,
!sturdSoil,,,item,Sturdy Water,
!minSoil,,,item,Minmax Water,
!waterfall,,,item,Waterfall Can,
!immunity,,,item,Immunity Can,
!seasonal,,,item,Seasonal Can,
!pesticide2,,,item,Pesticide2,
disp.nerf,,,item,0 Nerf,
disp.tree,,,item,0 Tree,
disp.veg,,,item,0,
disp.grapesSing,,,item,Grape,
nm.asparagus,,,item,Asparagus,
nm.beet,,,item,Beet,
nm.bellpepper,,,item,Bell Pepper,
nm.carrot,,,item,Carrot,
nm.corn,,,item,Corn,
nm.garlic,,,item,Garlic,
nm.ginger,,,item,Ginger,
nm.leek,,,item,Leek,
nm.pineapple,,,item,Pineapple,
nm.radish,,,item,Radish,
nm.rhubarb,,,item,Rhubarb,
nm.spinach,,,item,Spinach,
nm.tomato,,,item,Tomato,
nm.apple,,,item,Apple,
nm.apricot,,,item,Apricot,
nm.avocado,,,item,Avocado,
nm.banana,,,item,Banana,
nm.blackberry,,,item,Blackberry,
nm.grapes,,,item,Grapes,
nm.specialgrapes,,,item,Grapes+,
nm.kiwi,,,item,Kiwi,
nm.lemon,,,item,Lemon,
nm.mango,,,item,Mango,
nm.beeR,,,item,Killer Bee,
nm.beeG,,,item,Stingless Bee,
nm.beeB,,,item,Honey Bee,
nm.rice,,,item,Rice,
nm.arborio,,,item,Arborio Rice,
nm.blackrice,,,item,Black Rice,
nm.shortgrain,,,item,Short-Grain Rice,
nm.chestnut,,,item,Water Chestnut,
nm.spear,,,item,Fish Spear,
nm.rod,,,item,Fish Rod,
nm.goodrod,,,item,Better Rod,
nm.metalrod,,,item,Metal Rod,
nm.net,,,item,Fish Net,
nm.bignet,,,item,Big Net,
nm.fodder,,,item,Fodder,
nm.shiitake,,,item,Shiitake,
nm.milkcap,,,item,Milk Cap,
nm.portobello,,,item,Portobello,
nm.greenshroom,,,item,Parrot Toadstool,
nm.blackshroom,,,item,Black Mushroom,
nm.poisnshroom,,,item,Toxic Shroom,
nm.egg,,,item,Chicken Egg,
nm.quail,,,item,Quail Egg,
nm.goose,,,item,Goose Egg,
nm.turkey,,,item,Turkey Egg,
nm.platypus,,,item,Platypus Egg,
nm.battery,,,item,Battery,
nm.headphones,,,item,Earbuds,
nm.printer,,,item,3D Printer,
nm.app,,,item,App,
nm.drone,,,item,Drone,
nm.frogbot,,,item,Fwoggybot,
nm.coffee,,,item,Coffee Machine,
nm.sicklebattery,,,item,Sickle2 Battery,
nm.holywater,,,item,Holy Water,
nm.holyjug,,,item,Holy Pitcher,
nm.goldegg,,,item,Golden Egg,
nm.coconut,,,item,Coconut,
nm.gmocorn,,,item,GMO Corn,
nm.ultrarod,,,item,Golden Rod,
nm.goodfood,,,item,Delicious Food,
nm.notdrugs,,,item,Funny Mushroom,Unhealthy Mushroom
nm.lotus,,,item,Sacred Lotus,
nm.hbee,,,item,Haunted Bee,
nm.algae,,,item,Algae,
nm.kelp,,,item,Kelp,
nm.rock,,,item,Rock,
nm.tire,,,item,Tire,
nm.engine,,,item,Engine,
nm.salt,,,item,Salt,
nm.acorn,,,item,Acorn,
nm.robobabby,,,item,Byte Baby,
nm.bpermit,,,item,Building Permit,
nm.house,,,item,House,
nm.lightbulb,,,item,Smart Lightbulb,
nm.download,,,item,Download,
nm.cloud,,,item,The Cloud,
nm.porcini,,,item,Porcini,
nm.arborioB,,,item,Arborio Rice,
nm.timebomb,,,item,Time Bomb,
nm.shotgun,,,item,Shotgun,
nm.burrito,,,item,Burrito,
nm.dango,,,item,Dango,
nm.taco,,,item,Taco,
nm.kombucha,,,item,Kombucha,
nm.cheese,,,item,Cheese,
nm.batterysalt,,,item,Smart Salt,
nm.gastank,,,item,Gas Tank,
nm.airfilter,,,item,Air Filter,
nm.dipstick,,,item,Dip Stick,
nm.cacao,,,item,Cacao,
nm.bananaPill,,,item,Banana Pill,
nm.mushNerf,,,item,Mushrooms,
nm.riceNerf,,,item,Paddy Crops,
nm.treeNerf,,,item,Tree Crops,
nm.vegNerf,,,item,Veggies,
nm.fishNerf,,,item,Fish,
nm.beeNerf,,,item,Bees,
nm.eggNerf,,,item,Eggs,
nm.reNerf,,,item,Regrowing Crops,
nm.char0,,,item,Pale Blood Horse,
nm.char1,,,item,Mabingy the Elf,
nm.char2,,,item,Pagan Cave Bat,
nm.char3,,,item,Just a Slime,
nm.char4,,,item,Trash Lobster,
nm.elem0,,,item,Fire,
nm.elem1,,,item,Earth,
nm.elem2,,,item,Water,
nm.elem3,,,item,Tech,
nm.fx0,,,item,Gobulin Shield,
nm.fx1,,,item,Wand of Ps'ghetti,
nm.fx2,,,item,Infernal Doug,
nm.fx3,,,item,Regular Baseball,
nm.fx4,,,item,The Blue Winter,
nm.food2orig,,,item,Food2 Original,
nm.food2classic,,,item,Food2 Classic,
nm.food2kelp,,,item,Food2 Crispy,
nm.food2coffee,,,item,Food2 WH,
nm.food2salsa,,,item,Food2 SP,
nm.food2gamer,,,item,Food2 Epic,
nm.food2cookie,,,item,Food2 RR,
nm.food2black,,,item,Food2 Midnite,
nm.food2purple,,,item,Food2 Purple,
nm.food2crystal,,,item,Crystal Food2,
nm.food2powder,,,item,Food2 Powder,
nm.food2bar,,,item,Foobar2,
nm.food2barChoc,,,item,Chocky Foobar2,
nm.soybean,,,item,Soybean,
nm.conveyorEnd,,,item,Food2 Conveyor,
nm.soybaby,,,item,Soy Baby,
*,,,,Options,
pottyWordPanic,,,other,"Occasionally, the characters in this game may use strong language because potty words can be funny sometimes. Are you okay with this?",
pottyYes,,,other,Sign me the HECK up!,
pottyNo,,,other,No swears please.,
pottyYes2,,,other,Hell yeah! You made a damn good choice. You can switch to a kid-friendly experience at any time in the Options Menu.,
pottyNo2,,,other,Heck yeah! You made a darn good choice. You can switch to a teen-friendly experience at any time in the Options Menu.,
pottyOK,,,other,OK,
quitConfirm,,,other,"If you quit, you will lose any unsaved data. Are you sure you want to quit?",
saveSlotDisp,,,opts,Slot,
clearSaves,,,opts,Clear Save Data,
clearSavesInfo,,,opts,This will clear all your existing save game data.,
clearSavesConfirm,,,opts,Are you sure? This will erase ALL game save data permanently!,
clearSavesCleared,,,opts,All save data erased. Press anything to return to the title screen.,
autosave,,,opts,Autosave,
title.new,,,opts,New Game,
title.cont,,,opts,Continue,
title.options,,,opts,Options,
opGameOps,,,opts,Accessibility,
opDifficulty,,,opts,Difficulty,
diffEasy,,,opts,Easy,
diffNormal,,,opts,Normal,
diffHard,,,opts,Hard,
opPottywords,,,opts,Strong Language,
opControls,,,opts,Controls,
opGameplay,,,opts,Gameplay,
opOff,,,opts,Off,
opAudio,,,opts,Audio,
opGraphics,,,opts,Graphics,
opMusic,,,opts,Music,
opSound,,,opts,Sound,
opFont,,,opts,Font,
fontStandard,,,opts,Standard,
fontDyslexic,,,opts,OpenDyslexic,
diffEasy.i,,,opts,You cannot die in combat. Enemies have less health. Items are cheaper.,
diffNormal.i,,,opts,Everything is balanced for a fair and enjoyable experience for most players.,
diffHard.i,,,opts,Seeds are much harder to come by. Enemies are JERKS. The RNG is meaner.,
opResolution,,,opts,Resolution,
opRes0,,,opts,512x448,
opRes1,,,opts,768x672,
opRes2,,,opts,1024x896,
opRes3,,,opts,1280x1120,
opRes4,,,opts,1536x1344,
opRes5,,,opts,1792x1568,
opRes6,,,opts,2048x1792,
opRes7,,,opts,Fit to Screen,
opFullScreen,,,opts,Fullscreen,
opYes,,,opts,Yes,
opFilter,,,opts,Filter,
opNone,,,opts,None,
opS4X,,,opts,S4X,
opHQ4X,,,opts,HQ4X,
opGB,,,opts,Color Shift,
opGlitch,,,opts,Glitch,
opColorH,,,opts,Palette Style,
opColor0,,,opts,Monochrome,
opColor1,,,opts,Pastel,
opColor2,,,opts,Faded,
opColor3,,,opts,Dark,
opColor4,,,opts,Bright,
opMonoH,,,opts,Color Tint,
opMono0,,,opts,Retro,
opMono1,,,opts,Gray,
opMono2,,,opts,Sepia,
opMono3,,,opts,Blue,
opMono4,,,opts,Pink,
opNo,,,opts,No,
opFontSize,,,opts,Font Size,
opFontSize1,,,opts,Normal,
opFontSize2,,,opts,A Bit Bigger,
opFontSize3,,,opts,Even Bigger Still,
ctrlUp,,,opts,Up,
ctrlDown,,,opts,Down,
ctrlLeft,,,opts,Left,
ctrlRight,,,opts,Right,
ctrlConfirm,,,opts,Confirm,
ctrlCancel,,,opts,Cancel,
ctrlPause,,,opts,Pause,
opOn,,,opts,On,
opPlacehold,,,opts,Placeholder,
opSaveQuit,,,opts,Save and Return,
opQuit,,,opts,Return without Saving,
opControlScheme,,,opts,Control Type,
opKeyboard,,,opts,Keyboard,
opGamepad,,,opts,Gamepad,
opControlNote,,,opts,You can switch between these in-game by pressing a key or button on either device.,
opDeadzone,,,opts,Analog Deadzone,
opAnalogDPad,,,opts,Movement Controls,
opBoth,,,opts,Analog Stick + D-Pad,
opBoth.i,,,opts,Both the left analog stick and the directional pad control the player.,
opBelow,,,opts,Specified Below,
opBelow.i,,,opts,Choose your own controls for player movement.,
opBtnMove,,,opts,Movement,
opFixControls,,,opts,Fix Your Controls Before Saving,
opStickyControls,,,opts,Sticky Movement,
opYes.i,,,opts,"When moving around the world map, tap a movement key to toggle movement.",
opNo.i,,,opts,"When moving around the world map, hold down a movement key to move.",
opIgnoreMouse,,,opts,Ignore Mouse,
opVirtualDpad,,,opts,Virtual Controller,
opVirtualCustom,,,opts,Customize Virtual Controller,
nowLoading,,,opts,Now Lording,
*,,,,Fixture Tutorial,
fixTut0,,,map,"Looks like you just got your first fixture! You can place it on your field by selecting ""Fixtures"" from the Pause Menu. Would you like a quick rundown of how do?",
fixTutNo,,,map,"No problem! Remember, just select the ""Fixtures"" option in the Pause Menu to place fixtures on your field. You can't use special crops or abilities in combat unless you place the fixture first!",
fixTut1,,,map,Radical. Pause the game to bring up the Pause Menu!,
fixTut2,,,map,"You did it! You paused the game! I'm so proud of you! Now move to the ""Fixtures"" option and select it!",
fixTut3,,,map,Chilladillino! Now move to the fixture you want and select it. Next to your fixtures is a description with information about the currently selected fixture and how it's used in combat.,
fixTut4,,,map,"Philadelphia! You can now move to your field below and select a tile you want to place your fixture on! Be careful with your placement; if you put it in a bad spot, you may not be able to plant larger crops!",
fixTut5,,,map,"Brontubisto! Now in battle, that fixture will be present, ready for use! Try to collect and arrange fixtures on your field to fit your playstyle and maximize your farming! Good luck!",
fixTutNoFun,,,map,"Alrighty then, fixture tutorial! In the Pause Menu, move to the ""Fixtures"" option and select it!",
*,,,,Area 0: Opening Cutscene,
intro1,,,map,???: This must be the place!,
intro2,,nath,map,"???: Hello there, are you the owner of this farm? You are? Excellent!",
intro3,,nath,map,???: My name is Nathan! I'm an apprentice farmer! Do you need an intern?,
intro4,,nathconf,map,Nathan: Now hold on a second! I can be a valuable asset to your farm!,
intro5,,nath,map,"Nathan: You're running your produce stand today, right? I can go advertise for it!",
intro6,,nath,map,"Nathan: Or I can run some errands for you while you're busy with that! Come on, what's something you need to get done today?",
intro7,,nath,map,"Nathan: You need some seeds, do you? Well, I know a great bulk supplier! I'll go get them and bring them to you at the market!",
intro8,,nath,map,Nathan: Be back soon! I won't disappoint you!,
intro9,,beckett,map,???: Ah! This must be it! The famous produce stand!,
intro10,,beckett,map,???: The guys back at the office were right -- all of this looks amazing! ,
intro11,,beckett,map,???: This carrot looks so nutritious!,
intro12,,beckett,map,???: ...,
intro13,,beckett,map,???: And it looks like this analysis confirms that it is!,
intro14,,beckett,map,???: Hm?,
intro15,,beckett,map,???: Oh. You're probably wondering what that was all about.,
intro16,,beckett,map,???: I'm Beckett. The startup I work for is going to use this carrot data to help us create PROPRIETARY FOOD SUBSTITUTES.,
intro17,,beckett,map,Beckett: The world will be so much better when people don't have to worry about what to eat! ,
intro18,,beckett,map,"Beckett: But for that to work, we also need to make sure Food2 has no competition... ",
intro19,,beckett,map,"Beckett: So, I'd like to make you an offer. Ten million coins to retire and never farm again.",
intro20,,beckett,map,Beckett: ...,
intro21,,beckett,map,"Beckett: No? Hmm, I thought you'd be convinced by that amazing sales pitch...",
intro22,,beckett,map,"Beckett: Well, I have things I need to do, so I'll let this Convince-a-tron change your mind! Give me a call when you're ready to accept our offer!",
intro23,,conv,map,Convince-a-tron: Hello! Allow me to play the devil's advocate for a moment... what if that thing you don't want to do is actually a good thing?,
Pb0.0,,,map,That was a weird situation. I wonder why that guy sucked so much.,
Pb0.1,,,map,"Oh well, I should probably head back to my farm now.",
*,,,,Area 0: Tutorial,
tut0,,,tut,"Looks like it's time for a throwdown! To start things off, select 'Plant' from the menu below! ",
tut1,,,tut,"Excellent! You did it! Now select the Beet Seeds! Trust me, it's gonna be good. ",
tut2,,,tut,Next step is planting those Seeds on your Field. Plant them wherever you want! ,
tut3,,,tut,"Good job! You Planted a Beet! When something is Planted on your Field, you generally have to wait several turns for it to grow. Now it's the enemy's turn, so just advance when ready. ",
tut4,,,tut,Your Beet is Ripe! You can now Attack with it. Select 'Attack' from the menu! ,
tut5,,,tut,"When you select 'Attack', any Ripe Crops on your Field will be harvested and launched at your opponent! ",
tut6,,,tut,"Enemy's turn again. It wouldn't be fair if you were the only one who could do anything, after all.",
tut7,,,tut,Alright! Now time to Plant some more Seeds! Select 'Plant' again. ,
tut8,,,tut,"This time we're gonna plant a tree! Select the Grape+ Seeds. Different crops have different stats, so keep an eye on each seed's infobox!",
tut9,,,tut,"Trees are big, so they take up more space on your Field! Plant the tree! ",
tut10,,,tut,"Looks like that tree will take four turns to grow. We can wait it out! This crop had a nice green ""O"" in its infobox, so you know it'll do more damage when harvested in the current season!",
tut11,,,tut,"While we're waiting, let's try Attacking again. Select 'Attack' from the menu. ",
tut12,,,tut,"You can still Attack with no Ripe Crops available, but it isn't going to be as effective. ",
tut13,,,tut,Now we're going to try something a little more interesting... ,
tut14,,,tut,Select 'Plant' from the menu. ,
tut15,,,tut,Now select the Carrot Seeds. Notice the Time carrots take to grow... and how many turns your Grape Tree has left. ,
tut16,,,tut,Plant those Carrots! ,
tut17,,,tut,This robot has no idea what vegetable calamity you are about to unleash on it.,
tut18,,,tut,"One more time now, select 'Plant'! ",
tut19,,,tut,Now select those Beet Seeds! ,
tut20,,,tut,Plant those Beet Seeds! ,
tut21,,,tut,Do you see where this is going? ,
tut22,,,tut,Everything's ready! THROW SOME FOOD AT THAT TIN CAN!,
tut23,,,tut,"ZING! That's gotta hurt! Assuming that robot was programmed to feel pain, at least.",
tut24,,,tut,"But alas, it's still functional.",
tut25,,,tut,"Uhhh. Oh yeah, you can take damage too. Maybe select 'Plant'. ",
tut26,,,tut,"Trust me on this one, but it's time to plant some Beet Seeds. ",
tut27,,,tut,Just drop 'em anywhere. ,
tut28,,,tut,"Alright so you're gonna have to trust me on this one, okay? ",
tut29,,,tut,Okay... do NOT attack with this Ripe Beet. Select 'Plant' again. ,
tut30,,,tut,Just pick something. ,
tut31,,,tut,Plant it. ,
tut32,,,tut,"Alright, now it's time. ",
tut33,,,tut,Select 'Compost' from the menu. ,
tut34,,,tut,Now select your Rotten Beet. ,
tut35,,,tut,"Cool cool, coolcoolcool. Now select HEAL. ",
tut36,,,tut,"Bam. You can Compost Rotten Crops to recover health. Crops Rot when they age after becoming Ripe. Trees don't Rot, but their Ripe Fruit will fall off and they'll have to regrow. ",
tut37,,,tut,With the right Compost Bin you can even Compost Crops that aren't Rotten... or Attack enemies with your compost! ,
tut38,,,tut,"Now let's FINISH THIS FAX MACHINE OFF! You're on your own now, kid! ",
tut999,,,tut,"If you don't want to do the tutorial, you can run away to ignore this silly robot! But if you get confused later you can come back and learn!",
tutEnemy2,,,combat,{0} is prepared to lecture you on the importance of cryptocurrencies.,
tutEnemy5,,,combat,{0} wants you to know that the future of the world is in the hands of like 4 startups in California.,
tutEnemy9,,,combat,{0} thinks you should listen to its podcast.,
tutEnemy12,,,combat,"{0} is just playing Devil's Advocate, it's not that big of a deal.",
tutEnemy16,,,combat,{0} is finding it hard to discuss things with you if you aren't willing to listen.,
tutEnemy20,,,combat,{0} wishes you'd cut that out.,
tutEnemy23,,,combat,{0} headbutts you for {1} damage.,
tutEnemy27,,,combat,{0} is sorry they hurt you.,
tutEnemy31,,,combat,{0} hopes you can see things through their perspective.,
tutEnemy36,,,combat,{0} is ready to die.,
wantTut,,conv,map,"Convince-a-tron: Greetings, would you like to play through the tutorial?",
sYes,,,choice,Yes.,
sNo,,,choice,No.,
tutInfoPower,,,combat,Attack Power,
tutInfoGrowth,,,combat,Growth/Regrowth Time,
tutInfoSeasons,,,combat,Seasonal Strengths,
noTut,,conv,map,Convince-a-tron: Okie-dokie!,
finTut,,,map,Congratulations on Tutorialing!,
quitTut,,,map,Don't want to Tutorial after all? No worries! Come back later if you change your mind!,
*,,,,Area 1: Farm,
robo0,,,map,"Robot: Beep beep, it's fights time.",
robo1,,,map,"Robot: Hey kid, I'm a computer. Stop all the downloading!",
robo2,,,map,Robot: Turn on the night-light because it's fight night!,
robo3,,,map,Robot: beep beep beep beep beep ,
robo4,,,map,Robot: [TODO: give this robot a witty one-liner],
farmMush0,,,map,I've been growing mushrooms on this log for years. It's what one might call... a mushroom log.,
farmMush1,,,map,You got one (1) mushroom! You can plant it on a mushroom log during battles once you get one!,
farmTree,,,map,Bananas sure are tasty.,
farmSprinkler,,,map,"These sprinklers are good, but they don't always get things right. That's why you gotta water by hand sometimes!",
farmHay,,,map,This nice soft pile of hay is great for napping on.,
farmBin,,,map,A bin full of delicious fruits and vegetables.,
farmWater,,,map,Water you get when you combine a hole with water? A water hole! That isn't really a joke...,
farmVeggie,,,map,These are looking delicious!,
B1.0,,robo,map,Robot: hI hEllo yEs i aM a tEchnology rObot sEnt tO rEsearch tHis fArm. ,
B1.1,,robo,map,"Robot: aLso bY ""rEsearch"" i mEan ""lOot aNd pIllage."" ",
B1.2,,robo,map,Robot: oH dEar tHis iS yOur fArm? yOink. i mEan... uHhhh... wAnt rObot sCout cOokies? ,
B1.3,,robo,map,Robot: ... ,
B1.4,,robo,map,"Robot: ...nOt bUying iT? oKay, fIne. lEt's tHrow dOwn. ",
B1.5,,robo,map,"Robot: bAck fOr mOre, aRe yA? hAhaha. i'Ll gLadly dEfeat yOu aGain! ",
Pb1.0,,,map,"The remains of the robot are ticking, as if they are about to explode.",
